sample,uniq_mapped_reads,uniq_mapped_percent
25099FL-06-01-01_S1_L001,78035358,82.11
25099FL-06-01-02_S2_L001,49728386,72.89
25099FL-06-01-03_S3_L001,32178522,70.44
25099FL-06-01-04_S4_L001,65726496,66.64
25099FL-06-01-05_S5_L001,38209713,67.45
25099FL-06-01-06_S6_L001,82026159,76.92
25099FL-06-01-07_S7_L001,11907741,52.45
25099FL-06-01-08_S8_L001,33782490,57.84
25099FL-06-01-09_S9_L001,42452833,65.71
25099FL-06-01-10_S10_L001,94093696,85.47
25099FL-06-01-11_S11_L001,154444378,84.48
25099FL-06-01-12_S12_L001,19948618,80.56
